,column,category,precision,recall,f1
0,workclass,Private,0.6545253863134658,0.5912263210368893,0.6212676794133055
1,workclass,Self-emp-inc,0.7862595419847328,0.7686567164179104,0.7773584905660378
2,workclass,Federal-gov,0.7974683544303798,0.65625,0.7200000000000001
3,workclass,Local-gov,0.6635514018691588,0.5966386554621849,0.6283185840707963
4,workclass,Self-emp-not-inc,0.6825396825396826,0.593103448275862,0.6346863468634686
5,workclass,?,0.65625,0.525,0.5833333333333334
6,workclass,State-gov,0.7121212121212122,0.6351351351351351,0.6714285714285715
7,workclass,Without-pay,1.0,1.0,1.0
8,education,Bachelors,0.7453703703703703,0.7301587301587301,0.7376861397479954
9,education,Some-college,0.6302521008403361,0.4983388704318937,0.5565862708719851
10,education,HS-grad,0.4856115107913669,0.38461538461538464,0.4292527821939586
11,education,Assoc-acdm,0.6470588235294118,0.532258064516129,0.5840707964601771
12,education,12th,0.6666666666666666,0.5,0.5714285714285715
13,education,11th,0.0,0.0,0.0
14,education,Assoc-voc,0.6615384615384615,0.581081081081081,0.618705035971223
15,education,9th,0.0,0.0,0.0
16,education,Prof-school,0.8736842105263158,0.8829787234042553,0.8783068783068785
17,education,7th-8th,0.8,0.36363636363636365,0.5000000000000001
18,education,10th,0.16666666666666666,0.2,0.1818181818181818
19,education,Masters,0.7804878048780488,0.837696335078534,0.8080808080808081
20,education,1st-4th,1.0,1.0,1.0
21,education,Doctorate,0.8064516129032258,0.8928571428571429,0.8474576271186439
22,education,Preschool,1.0,1.0,1.0
23,education,5th-6th,1.0,0.16666666666666666,0.2857142857142857
24,marital-status,Widowed,1.0,0.20833333333333334,0.3448275862068966
25,marital-status,Married-civ-spouse,0.677710843373494,0.6512301013024602,0.6642066420664207
26,marital-status,Never-married,0.6451612903225806,0.42105263157894735,0.5095541401273885
27,marital-status,Separated,1.0,0.2857142857142857,0.4444444444444445
28,marital-status,Divorced,0.7333333333333333,0.375,0.4962406015037593
29,marital-status,Married-spouse-absent,0.5,0.16666666666666666,0.25
30,marital-status,Married-AF-spouse,1.0,0.5,0.6666666666666666
31,occupation,Sales,0.6839378238341969,0.6197183098591549,0.6502463054187192
32,occupation,Handlers-cleaners,0.25,0.2,0.22222222222222224
33,occupation,Adm-clerical,0.5616438356164384,0.41,0.47398843930635837
34,occupation,Farming-fishing,0.5714285714285714,0.36363636363636365,0.4444444444444444
35,occupation,Craft-repair,0.47468354430379744,0.4076086956521739,0.4385964912280701
36,occupation,Exec-managerial,0.7786259541984732,0.7445255474452555,0.7611940298507462
37,occupation,Other-service,0.2857142857142857,0.08695652173913043,0.13333333333333333
38,occupation,Transport-moving,0.4897959183673469,0.3582089552238806,0.4137931034482758
39,occupation,Tech-support,0.7538461538461538,0.6621621621621622,0.7050359712230215
40,occupation,Machine-op-inspct,0.4791666666666667,0.45098039215686275,0.46464646464646464
41,occupation,Protective-serv,0.6060606060606061,0.5263157894736842,0.5633802816901409
42,occupation,?,0.65625,0.525,0.5833333333333334
43,occupation,Prof-specialty,0.7560975609756098,0.75,0.7530364372469637
44,occupation,Priv-house-serv,1.0,1.0,1.0
45,occupation,Armed-Forces,1.0,1.0,1.0
46,relationship,Unmarried,0.8,0.3137254901960784,0.45070422535211263
47,relationship,Husband,0.674496644295302,0.6563265306122449,0.6652875465453042
48,relationship,Own-child,1.0,0.25,0.4
49,relationship,Other-relative,1.0,0.3333333333333333,0.5
50,relationship,Not-in-family,0.6770833333333334,0.39156626506024095,0.49618320610687017
51,relationship,Wife,0.7014925373134329,0.6225165562913907,0.6596491228070175
52,race,White,0.6801498127340824,0.621492128678987,0.6494992846924177
53,race,Black,0.6825396825396826,0.5657894736842105,0.6187050359712231
54,race,Amer-Indian-Eskimo,0.8333333333333334,0.5,0.625
55,race,Other,1.0,0.2857142857142857,0.4444444444444445
56,race,Asian-Pac-Islander,0.6341463414634146,0.45614035087719296,0.5306122448979592
57,sex,Female,0.7241379310344828,0.5101214574898786,0.5985748218527316
58,sex,Male,0.6739984289080911,0.6290322580645161,0.6507394766780432
59,native-country,Cuba,1.0,0.5,0.6666666666666666
60,native-country,United-States,0.6845637583892618,0.6181818181818182,0.6496815286624203
61,native-country,?,0.5161290322580645,0.5925925925925926,0.5517241379310345
62,native-country,Puerto-Rico,1.0,0.0,0.0
63,native-country,Columbia,0.0,1.0,0.0
64,native-country,Guatemala,1.0,0.0,0.0
65,native-country,South,0.3333333333333333,0.3333333333333333,0.3333333333333333
66,native-country,Ecuador,1.0,1.0,1.0
67,native-country,Greece,0.5,1.0,0.6666666666666666
68,native-country,Vietnam,1.0,0.5,0.6666666666666666
69,native-country,Mexico,0.5,0.4,0.4444444444444445
70,native-country,Jamaica,0.5,1.0,0.6666666666666666
71,native-country,Dominican-Republic,1.0,1.0,1.0
72,native-country,Philippines,1.0,0.4444444444444444,0.6153846153846153
73,native-country,Hungary,1.0,1.0,1.0
74,native-country,Germany,0.6666666666666666,0.6666666666666666,0.6666666666666666
75,native-country,Thailand,1.0,1.0,1.0
76,native-country,England,1.0,0.5454545454545454,0.7058823529411764
77,native-country,El-Salvador,1.0,0.3333333333333333,0.5
78,native-country,Poland,1.0,0.6666666666666666,0.8
79,native-country,Canada,0.8571428571428571,0.75,0.7999999999999999
80,native-country,Italy,1.0,0.2,0.33333333333333337
81,native-country,China,0.75,0.6,0.6666666666666665
82,native-country,Nicaragua,0.0,0.0,0.0
83,native-country,Portugal,1.0,0.0,0.0
84,native-country,Iran,0.0,1.0,0.0
85,native-country,Hong,0.5,1.0,0.6666666666666666
86,native-country,India,0.4444444444444444,0.4444444444444444,0.4444444444444444
87,native-country,Ireland,1.0,1.0,1.0
88,native-country,Taiwan,0.75,0.75,0.75
89,native-country,Cambodia,0.0,0.0,0.0
90,native-country,Peru,1.0,1.0,1.0
91,native-country,Japan,1.0,0.6666666666666666,0.8
92,native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
93,native-country,France,0.0,0.0,0.0
94,native-country,Trinadad&Tobago,1.0,1.0,1.0
95,native-country,Haiti,1.0,1.0,1.0
96,native-country,Yugoslavia,0.0,0.0,0.0
97,native-country,Laos,1.0,1.0,1.0
98,native-country,Scotland,1.0,1.0,1.0
99,native-country,Honduras,1.0,1.0,1.0
